Generated at : 19/06/25 16:16:50
Account : Z5Z2FK
Start date : 21/03/25 16:16
End date : 19/06/25 16:16



Closing Ref,Closed,Opening Ref,Opened,Market,Period,Direction,Size,Opening,Closing,Trade Ccy.,P/L,Funding,Borrowing,Dividends,LR Prem.,Others,Comm. Ccy.,Comm.,Total
OPEN,-,H2NSQMAS,21-04-2025 22:41:53,Tesla Motors Inc (All Sessions),DFB,BUY,0,22747.0,0.0,GBP,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00
H2NWVYAL,22-04-2025 22:29:28,H2NSQMAS,21-04-2025 22:41:53,Tesla Motors Inc (All Sessions),DFB,BUY,1,22747.0,24747.0,GBP,"2,000.00",-4.64,0.00,0.00,0.00,0.00,-,0.00,"1,995.36"
OPEN,-,SYA49WAV,13-05-2025 18:15:52,Advanced Micro Devices Inc (All Sessions),DFB,BUY,0,11279.0,0.0,GBP,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00
SZD2QAAD,13-05-2025 20:07:51,SYA49WAV,13-05-2025 18:15:52,Advanced Micro Devices Inc (All Sessions),DFB,BUY,0.5,11279.0,11265.0,GBP,-7.00,0.00,0.00,0.00,0.00,0.00,-,0.00,-7.00
OPEN,-,SYB3UUAF,13-05-2025 18:20:03,Tesla Motors Inc (All Sessions),DFB,BUY,0,32747.0,0.0,GBP,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00
SZDWG8AV,13-05-2025 20:07:59,SYB3UUAF,13-05-2025 18:20:03,Tesla Motors Inc (All Sessions),DFB,BUY,0.1,32747.0,33452.0,GBP,70.50,0.00,0.00,0.00,0.00,0.00,-,0.00,70.50
OPEN,-,SZRV2VAH,13-05-2025 20:43:39,Advanced Micro Devices Inc (All Sessions),DFB,BUY,0,11265.0,0.0,GBP,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00
UDAB9CA2,15-05-2025 19:31:44,SZRV2VAH,13-05-2025 20:43:39,Advanced Micro Devices Inc (All Sessions),DFB,BUY,0.5,11265.0,11512.0,GBP,123.50,-2.34,0.00,0.00,0.00,0.00,-,0.00,121.16
OPEN,-,UMWWQUAK,16-05-2025 11:06:35,Tesla Motors Inc (All Sessions),DFB,BUY,0,34574.0,0.0,GBP,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00
UNWPQEA8,16-05-2025 14:49:29,UMWWQUAK,16-05-2025 11:06:35,Tesla Motors Inc (All Sessions),DFB,BUY,0.04,34574.0,34802.0,GBP,9.12,0.00,0.00,0.00,0.00,0.00,-,0.00,9.12
OPEN,-,UNWLNNA9,16-05-2025 14:51:14,Tesla Motors Inc (All Sessions),DFB,BUY,0,34731.0,0.0,GBP,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00
UQYCTJAD,16-05-2025 18:38:43,UNWLNNA9,16-05-2025 14:51:14,Tesla Motors Inc (All Sessions),DFB,BUY,1,34731.0,34827.0,GBP,96.00,0.00,0.00,0.00,0.00,0.00,-,0.00,96.00
OPEN,-,UQZJGHAL,16-05-2025 18:40:34,NVIDIA Corp (All Sessions),DFB,BUY,0,13569.0,0.0,GBP,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00
VRGQGQAF,20-05-2025 16:01:01,UQZJGHAL,16-05-2025 18:40:34,NVIDIA Corp (All Sessions),DFB,BUY,0.04,13569.0,13354.0,GBP,-8.60,-0.44,0.00,0.00,0.00,0.00,-,0.00,-9.04
OPEN,-,URTR3BA9,16-05-2025 20:22:10,Tesla Motors Inc (All Sessions),DFB,BUY,0,34891.0,0.0,GBP,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00
URTR3JA9,05-06-2025 19:17:03,URTR3BA9,16-05-2025 20:22:10,Tesla Motors Inc (All Sessions),DFB,BUY,0.04,34891.0,29891.0,GBP,-200.00,-3.05,0.00,0.00,0.00,0.00,-,0.00,-203.05
OPEN,-,U5V4RTAS,19-05-2025 21:48:55,Advanced Micro Devices Inc (All Sessions),DFB,BUY,0,11459.0,0.0,GBP,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00
U5VXDDAJ,19-05-2025 21:49:03,U5V4RTAS,19-05-2025 21:48:55,Advanced Micro Devices Inc (All Sessions),DFB,BUY,0.5,11459.0,11447.0,GBP,-6.00,0.00,0.00,0.00,0.00,0.00,-,0.00,-6.00
