Generated at : 19/06/25 15:59:26
Account : PU6VS
Start date : 21/03/25 15:59
End date : 19/06/25 15:59



Closing Ref,Closed,Opening Ref,Opened,Market,Period,Direction,Size,Opening,Closing,Trade Ccy.,P/L,Funding,Borrowing,Dividends,LR Prem.,Others,Comm. Ccy.,Comm.,Total
OPEN,-,LSHZBSA6,19-05-2025 21:56:44,Advanced Micro Devices Inc (All Sessions),DFB,BUY,0,11463.0,0.0,GBP,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00
L7HY97AH,21-05-2025 21:22:08,LSHZBSA6,19-05-2025 21:56:44,Advanced Micro Devices Inc (All Sessions),DFB,BUY,0.03,11463.0,11186.0,GBP,-8.31,-0.14,0.00,0.00,0.00,0.00,-,0.00,-8.45
OPEN,-,MUVFBGA5,27-05-2025 09:22:27,Tesla Motors Inc (All Sessions),DFB,BUY,0,34864.0,0.0,GBP,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00
NELAJ5AS,29-05-2025 19:05:25,MUVFBGA5,27-05-2025 09:22:27,Tesla Motors Inc (All Sessions),DFB,BUY,0.01,34864.0,35689.0,GBP,8.25,-0.14,0.00,0.00,0.00,0.00,-,0.00,8.11
OPEN,-,MY2WRQAM,27-05-2025 21:03:24,Tesla Motors Inc (All Sessions),DFB,BUY,0,36304.0,0.0,GBP,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00
NAAVHCAB,29-05-2025 09:36:05,MY2WRQAM,27-05-2025 21:03:24,Tesla Motors Inc (All Sessions),DFB,BUY,0.01,36304.0,36670.0,GBP,3.66,-0.14,0.00,0.00,0.00,0.00,-,0.00,3.52
OPEN,-,M3WNQ6BC,28-05-2025 12:43:07,NVIDIA Corp (All Sessions),DFB,BUY,0,13637.0,0.0,GBP,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00
NAAA4XBB,29-05-2025 09:35:38,M3WNQ6BC,28-05-2025 12:43:07,NVIDIA Corp (All Sessions),DFB,BUY,0.05,13637.0,14148.0,GBP,25.55,-0.14,0.00,0.00,0.00,0.00,-,0.00,25.41
OPEN,-,NT7MTEAJ,02-06-2025 18:54:16,Novo Nordisk AS - ADR (All Sessions),DFB,BUY,0,7222.0,0.0,GBP,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00
PZTJVPAT,10-06-2025 18:17:03,NT7MTEAJ,02-06-2025 18:54:16,Novo Nordisk AS - ADR (All Sessions),DFB,BUY,0.03,7222.0,8030.0,GBP,24.24,-0.32,0.00,0.00,0.00,0.00,-,0.00,23.92
QFYSTAAB,12-06-2025 20:46:40,NT7MTEAJ,02-06-2025 18:54:16,Novo Nordisk AS - ADR (All Sessions),DFB,BUY,0.02,7222.0,8078.0,GBP,17.12,-0.28,0.00,0.00,0.00,0.00,-,0.00,16.84
OPEN,-,NUDZZAA9,02-06-2025 19:29:47,Tesla Motors Inc (All Sessions),DFB,BUY,0,34093.0,0.0,GBP,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00
PDVNG2A9,05-06-2025 15:21:03,NUDZZAA9,02-06-2025 19:29:47,Tesla Motors Inc (All Sessions),DFB,BUY,0.01,34093.0,31773.0,GBP,-23.20,-0.21,0.00,0.00,0.00,0.00,-,0.00,-23.41
